tweet,compound,sentiment
awww thats a bummer  you shoulda got david carr of third day to do it d,-0.3818,negatif
is upset that he cant update his facebook by texting it and might cry as a result  school today also blah,-0.7269,negatif
i dived many times for the ball managed to save   the rest go out of bounds,0.4939,positif
my whole body feels itchy and like its on fire,-0.25,negatif
no its not behaving at all im mad why am i here because i cant see you all over there,-0.6597,negatif
not the whole crew,0.0,neutre
need a hug,0.4767,positif
hey  long time no see yes rains a bit only a bit  lol  im fine thanks  hows you,0.4664,positif
nope they didnt have it,0.0,neutre
que me muera,0.0,neutre
spring break in plain city its snowing,0.0,neutre
i just repierced my ears,0.0,neutre
i couldnt bear to watch it  and i thought the ua loss was embarrassing,-0.5994,negatif
it it counts idk why i did either you never talk to me anymore,-0.1027,negatif
i wouldve been the first but i didnt have a gun    not really though zac snyders just a doucheclown,0.3724,positif
i wish i got to watch it with you i miss you and   how was the premiere,0.2732,positif
hollis death scene will hurt me severely to watch on film  wry is directors cut not out now,-0.9081,negatif
about to file taxes,0.0,neutre
ahh ive always wanted to see rent  love the soundtrack,0.6369,positif
oh dear were you drinking out of the forgotten table drinks,0.1779,positif
i was out most of the day so didnt get much done,0.0,neutre
one of my friend called me and asked to meet with her at mid valley todaybut ive no time sigh,0.2325,positif
i baked you a cake but i ated it,0.0,neutre
this week is not going as i had hoped,0.3818,positif
blagh class at  tomorrow,0.0,neutre
i hate when i have to call and wake people up,-0.5719,negatif
just going to cry myself to sleep after watching marley and me,-0.4767,negatif
im sad now  misslilly,-0.4767,negatif
ooooh lol  that leslie and ok i wont do it again so leslie wont  get mad again,0.7669,positif
meh almost lover is the exception this track gets me depressed every time,-0.024,neutre
some hacked my account on aim  now i have to make a new one,-0.4019,negatif
i want to go to promote gear and groove but unfornately no ride there  i may b going to the one in anaheim in may though,-0.2144,negatif
thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon,0.0,neutre
awe i love you too  am here  i miss you,0.5574,positif
i cry my asian eyes to sleep at night,-0.4767,negatif
ok im sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ bed now,-0.4939,negatif
ill tell ya the story later  not a good day and ill be workin for like three more hours,-0.6711,negatif
sorry bed time came here gmt,-0.0772,negatif
i dont either its depressing i dont think i even want to know about the kids in suitcases,0.3578,positif
bed class  work  gym  or  then class  another day thats gonna fly by i miss my girlfriend,-0.1531,negatif
really dont feel like getting up today but got to study to for tomorrows practical exam,-0.1746,negatif
hes the reason for the teardrops on my guitar the only one who has enough of me to break my heart,0.6369,positif
sad sad sad i dont know why but i hate this feeling  i wanna sleep and i still cant,-0.8505,negatif
awww i soo wish i was there to see you finally comfortable im sad that i missed it,0.1779,positif
falling asleep just heard about that tracy girls body being found how sad  my heart breaks for that family,0.128,positif
yay im happy for you with your job but that also means less time for me and you,0.5499,positif
just checked my user timeline on my blackberry it looks like the twanking is still happening  are ppl still having probs w bgs and uids,0.3612,positif
oh manwas ironing s fave top to wear to a meeting burnt it,0.5719,positif
is strangely sad about lilo and samro breaking up,-0.6486,negatif
oh im so sorry  i didnt think about that before retweeting,-0.188,negatif
broadband plan a massive broken promise  via wwwdiigocomtautao still waiting for broadband we are,-0.2023,negatif
wow tons of replies from you may have to unfollow so i can see my friends tweets youre scrolling the feed a lot,0.7845,positif
our duck and chicken are taking wayyy too long to hatch,0.0,neutre
put vacation photos online a few yrs ago pc crashed and now i forget the name of the site,-0.2263,negatif
i need a hug,0.4767,positif
not sure what they are only that they are pos as much as i want to i dont think can trade away company assets sorry andy,-0.0675,negatif
i hate when that happens,-0.5719,negatif
i have a sad feeling that dallas is not going to show up  i gotta say though youd think more shows would use music from the game mmm,-0.3818,negatif
ugh degrees tomorrow,-0.4215,negatif
where did u move to  i thought u were already in sd  hmmm random u found me glad to hear yer doing well,0.6249,positif
i miss my ps its out of commission  wutcha playing have you copped blood on the sand,0.0516,positif
just leaving the parking lot of work,0.0,neutre
the life is cool but not for me,0.1655,positif
sadly though ive never gotten to experience the post coitus cigarette before and now i never will,-0.4215,negatif
i had such a nice day too bad the rain comes in tomorrow at am,-0.1779,negatif
too bad i wont be around i lost my job and cant even pay my phone bill lmao aw shucks,-0.1541,negatif
damm back to school tomorrow,0.0,neutre
mo jobs no money  how in the hell is min wage here  fn clams an hour,-0.7783,negatif
not forever see you soon,0.0,neutre
agreed i saw the failwhale allllll day today,0.2732,positif
oh haha dude i dont really look at em unless someone says hey i added you sorry  im so terrible at that i need a pop up,-0.1761,negatif
im sure youre right    i need to start working out with you and the nikster or jared at least,0.3182,positif
i really hate how people diss my bands  trace is clearly not ugly,0.105,positif
gym attire today was puma singlet adidas shortsand black business socks and leather shoes  lucky did not run into any cute girls,0.7003,positif
why wont you show my location,0.0,neutre
no picnic  my phone smells like citrus,0.0772,positif
my donkey is sensitive about such comments nevertheless hed and med be glad to see your mug asap charger is still awol,0.1779,positif
no new csi tonight  fml,-0.296,negatif
i think my arms are sore from tennis,-0.3612,negatif
wonders why someone that u like so much can make you so unhappy in a split seccond  depressed,-0.6615,negatif
sleep soon i just hate saying bye and see you tomorrow for the night,-0.5719,negatif
just got ur newsletter those fares really are unbelievable shame i already booked and paid for mine,-0.315,negatif
missin the boo,0.0,neutre
me too,0.0,neutre
damn i dont have any chalk my chalkboard is useless,-0.6705,negatif
had a blast at the getty villa but hates that shes had a sore throat all day its just getting worse too,-0.9052,negatif
hey missed ya at the meeting  sup mama,-0.296,negatif
my tummy hurts  i wonder if the hypnosis has anything to do with it if so its working i get it stop smoking,-0.6486,negatif
why is it always the fat ones,0.0,neutre
sorry babe  my fam annoys me too thankfully theyre asleep right now muahaha evil laugh,-0.2732,negatif
i should have paid more attention when we covered photoshop in my webpage design class in undergrad,0.0,neutre
wednesday my bday dont know what  do,0.0,neutre
poor cameron the hills,-0.4767,negatif
pray for me please the ex is threatening to start sh at myour babies st birthday party what a jerk and i still have a headache,0.128,positif
hmm   do u really enjoy being with him  if the problems are too constants u should think things more  find someone ulike,0.2006,positif
strider is a sick little puppy,-0.5106,negatif
so ryleegracewana go steves party or not sadly since its easter i wnt b able  do much  but ohh well,0.6329,positif
hey i actually won one of my bracket pools too bad it wasnt the one for money,0.0516,positif
you dont follow me either  and i work for you,0.0,neutre
a bad nite for the favorite teams astros and spartans lose  the nite out with tw was good,-0.0772,negatif
